"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
267,"Adaklı","adakli","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
268,"Genç","genc","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
269,"Karlıova","karliova","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
270,"Kiğı","kigi","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
271,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
272,"Solhan","solhan","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
273,"Yayladere","yayladere","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
274,"Yedisu","yedisu","2018-05-28 11:46:58","2018-05-28 11:46:58",,20,,
275,"Adilcevaz","adilcevaz","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
276,"Ahlat","ahlat","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
277,"Güroymak","guroymak","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
278,"Hizan","hizan","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
279,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
280,"Mutki","mutki","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
281,"Tatvan","tatvan","2018-05-28 11:46:58","2018-05-28 11:46:58",,21,,
282,"Dörtdivan","dortdivan","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
283,"Gerede","gerede","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
284,"Göynük","goynuk","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
285,"Kıbrıscık","kibriscik","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
286,"Mengen","mengen","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
287,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
288,"Mudurnu","mudurnu","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
289,"Seben","seben","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
290,"Yeniçağa","yenicaga","2018-05-28 11:46:58","2018-05-28 11:46:58",,22,,
291,"Ağlasun","aglasun","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
292,"Altınyayla","altinyayla","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
293,"Bucak","bucak","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
294,"Çavdır","cavdir","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
295,"Çeltikçi","celtikci","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
296,"Gölhisar","golhisar","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
297,"Karamanlı","karamanli","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
298,"Kemer","kemer","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
299,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
300,"Tefenni","tefenni","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
301,"Yeşilova","yesilova","2018-05-28 11:46:58","2018-05-28 11:46:58",,23,,
302,"Ayvacık","ayvacik","2018-05-28 11:46:58","2018-05-28 11:46:58",,24,,
303,"Bayramiç","bayramic","2018-05-28 11:46:58","2018-05-28 11:46:58",,24,,
304,"Biga","biga","2018-05-28 11:46:58","2018-05-28 11:46:58",,24,,
